gtin;ndFreeOfAlcohol;gln;regulatedProdName;functionalName;labelDescription;TradeItemDescr;ingredient_informatie
3,7602E+12;;1,09421E+12;;;;Smaken mix;
3,7602E+12;;1,09421E+12;;;;Crunch Californian rolls s;
3,7602E+12;;1,09421E+12;;;;Zalm nigiri s;
3,7602E+12;;1,09421E+12;;;;Maki mix s;
3,7602E+12;;1,09421E+12;;;;Wakame Cali roll s;
3,7602E+12;;1,09421E+12;;;;Veggie roll s;
3,7602E+12;;1,09421E+12;;;;Combo one;
3,7602E+12;;1,09421E+12;;;;Combo two;
3,7602E+12;;1,09421E+12;;;;COLESLAW A LA JAPONNAISE BEL;
3,7602E+12;;1,09421E+12;;;;SALADE WAKAME ET DES DE CONCOMBRE BEL;
3,7602E+12;;1,09421E+12;;;;Tonijn-mayonaise california maki;
3,7602E+12;;1,09421E+12;;;;Tonijn-mayo verde maki;
3,7602E+12;;1,09421E+12;;;;PLATEAU DE NOEL BEL;
3,7602E+12;;1,09421E+12;;;;Chicken crunch roll;
3,7602E+12;;1,09421E+12;;;;Chicken verde maki;
3,7602E+12;;1,09421E+12;;;;Combo 3;
3,7602E+12;;1,09421E+12;;;;Combo 4;
3,7602E+12;;1,09421E+12;;;;Duo mix;
3,7602E+12;;1,09421E+12;;;;Menu 4;
3,7602E+12;;1,09421E+12;;;;GENMAI VERDE MAKI CHICKEN BEL;
3,7602E+12;;1,09421E+12;;;;Sushi daily sushigari;
3,7602E+12;;1,09421E+12;;;;Sushi daily wasabi;
3,7602E+12;;1,09421E+12;;;;Sushi daily nori zeewierbladen;
3,7602E+12;;1,09421E+12;;;;Sushi daily sushi rijst;
3,7602E+12;;1,09421E+12;;;;Roll 'n spicy;
3,7602E+12;;1,09421E+12;;;;Wakame salmon roll;
3,7602E+12;;1,09421E+12;;;;Mochi chocolade;
3,7602E+12;;1,09421E+12;;;;MOCHI STRAWBERRY CHEESECAKE;
3,7602E+12;;1,09421E+12;;;;Verde maki veggie;
3,7602E+12;;1,09421E+12;;;;VEGGIE GYOZA;
3,7602E+12;;1,09421E+12;;;;MENU DUO ZALM;
3,7602E+12;;1,09421E+12;;;;SPICY CHICKEN ROLL;
3,7602E+12;;1,09421E+12;;;;DREAM ROLL;
3,7602E+12;;1,09421E+12;;;;Spicy hamachy roll;
3,7602E+12;;1,09421E+12;;;;CHIRASHI TRIO BEL;
3,7602E+12;;1,09421E+12;;;;Poke tonijn zalm marinade;
3,7602E+12;;1,09421E+12;;;;FAV GARNALEN GYOZA;
3,7602E+12;;1,09421E+12;;;;FAV KIP GYOZA;
3,7602E+12;;1,09421E+12;;;;FAV SPICY ROLL ZALM;
3,7602E+12;;1,09421E+12;;;;FAV SPICY CALI ROLL;
3,7602E+12;;1,09421E+12;;;;FAV TRIPLE SPICY ROLL;
3,7602E+12;;1,09421E+12;;;;FAV CALIFORNIA MAKI;
3,7602E+12;;1,09421E+12;;;;FAV VERDE MAKI ZALM;
3,7602E+12;;1,09421E+12;;;;FAV CRUNCH CALI ROLL S;
3,7602E+12;;1,09421E+12;;;;FAV WAKAME CALI ROLL S;
3,7602E+12;;1,09421E+12;;;;FAV ZEEWIERSALADE;
3,7602E+12;;1,09421E+12;;;;FAV EDAMAME;
3,7602E+12;;1,09421E+12;;;;FAV ZALM SASHIMI;
3,7602E+12;;1,09421E+12;;;;FAV CALIFORNIA ROLL;
3,7602E+12;;1,09421E+12;;;;FAV VEGGIE ROLL;
3,7602E+12;;1,09421E+12;;;;FAV ZALM NIGIRI S;
3,7602E+12;;1,09421E+12;;;;FAV ZALM NIGIRI;
3,7602E+12;;1,09421E+12;;;;FAV MAKI MIX;
3,7602E+12;;1,09421E+12;;;;FAV MAXI MAKI;
